日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260831,5401,日本製鉄,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,2,TOPIX Large70
20260831,5406,神戸製鋼所,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260831,5408,中山製鋼所,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260831,540A,上場インデックスファンド日経銀行株トップ１０,ETF・ETN,-,-,-,-,-,-
20260831,5410,合同製鐵,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5411,ＪＦＥホールディングス,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260831,541A,Ｏｎｅ　ＥＴＦ　ＴＯＰＩＸ高配当株グロース指数,ETF・ETN,-,-,-,-,-,-
20260831,5423,東京製鐵,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,542A,ビタブリッドジャパン,グロース（内国株式）,3200,化学,4,素材・化学,-,-
20260831,543A,ＡＲＣＨＩＯＮ,プライム（内国株式）,3700,輸送用機器,6,自動車・輸送機,6,TOPIX Small 1
20260831,5440,共英製鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5444,大和工業,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260831,5445,東京鐵鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5446,北越メタル,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,5449,大阪製鐵,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260831,544A,ＧＭＳグループ,プライム（内国株式）,3600,機械,8,機械,7,TOPIX Small 2
20260831,5451,ヨドコウ,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5458,高砂鐵工,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,545A,トランヴィア,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,7,TOPIX Small 2
20260831,5461,中部鋼鈑,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5463,丸一鋼管,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260831,5464,モリ工業,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,7,TOPIX Small 2
20260831,546A,ＭＩＲＡＩＮＩホールディングス,プライム（内国株式）,6050,卸売業,13,商社・卸売,7,TOPIX Small 2
20260831,5471,大同特殊鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,4,TOPIX Mid400
20260831,547A,ムニノバホールディングス,プライム（内国株式）,7200,その他金融業,16,金融（除く銀行）,6,TOPIX Small 1
20260831,5480,日本冶金工業,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5482,愛知製鋼,プライム（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,6,TOPIX Small 1
20260831,5484,東北特殊鋼,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,548A,システムエグゼ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,5491,日本金属,スタンダード（内国株式）,3450,鉄鋼,7,鉄鋼・非鉄,-,-
20260831,549A,ヒトトヒトホールディングス,スタンダード（内国株式）,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,550A,ソフトテックス,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他,-,-
20260831,551A,ＩＺＵＭＩグループ,PRO Market,9050,サービス業,10,情報通信・サービスその他,-,-
20260831,5525,フロンティアホールディングス,PRO Market,8050,不動産業,17,不動産,-,-
